Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200729 17:35/UA0989/OP UA0989/Y/20200730 07:20/FRA~FRA/20200730 10:15/LH0100/OP LH0100/Y/20200730 11:10/MUC~MUC/20200730 15:35/LH0718/OP LH0718/Y/20200731 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200728 17:35/UA0989/OP UA0989/Y/20200729 07:20/FRA~FRA/20200729 11:15/LH0102/OP LH0102/Y/20200729 12:10/MUC~MUC/20200729 15:35/LH0718/OP LH0718/Y/20200730 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200730 17:35/UA0989/OP UA0989/Y/20200731 07:20/FRA~FRA/20200731 11:15/LH0102/OP LH0102/Y/20200731 12:10/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200727 17:35/UA0989/OP UA0989/Y/20200728 07:20/FRA~FRA/20200728 12:15/LH0104/OP LH0104/Y/20200728 13:10/MUC~MUC/20200728 15:35/LH0718/OP LH0718/Y/20200729 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200728 17:35/UA0989/OP UA0989/Y/20200729 07:20/FRA~FRA/20200729 12:15/LH0104/OP LH0104/Y/20200729 13:10/MUC~MUC/20200729 15:35/LH0718/OP LH0718/Y/20200730 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200729 17:35/UA0989/OP UA0989/Y/20200730 07:20/FRA~FRA/20200730 12:15/LH0104/OP LH0104/Y/20200730 13:10/MUC~MUC/20200730 15:35/LH0718/OP LH0718/Y/20200731 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200730 17:35/UA0989/OP UA0989/Y/20200731 07:20/FRA~FRA/20200731 12:15/LH0104/OP LH0104/Y/20200731 13:10/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200727 17:35/UA0989/OP UA0989/Y/20200728 07:20/FRA~FRA/20200728 13:15/LH0106/OP LH0106/Y/20200728 14:10/MUC~MUC/20200728 15:35/LH0718/OP LH0718/Y/20200729 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200728 17:35/UA0989/OP UA0989/Y/20200729 07:20/FRA~FRA/20200729 13:15/LH0106/OP LH0106/Y/20200729 14:10/MUC~MUC/20200729 15:35/LH0718/OP LH0718/Y/20200730 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200729 17:35/UA0989/OP UA0989/Y/20200730 07:20/FRA~FRA/20200730 13:15/LH0106/OP LH0106/Y/20200730 14:10/MUC~MUC/20200730 15:35/LH0718/OP LH0718/Y/20200731 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200730 17:35/UA0989/OP UA0989/Y/20200731 07:20/FRA~FRA/20200731 13:15/LH0106/OP LH0106/Y/20200731 14:10/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~n/a~standard,
IAD/20200730 17:35/UA0989/OP UA0989/Y/20200731 07:20/FRA~FRA/20200731 10:15/LH0100/OP LH0100/Y/20200731 11:10/MUC~MUC/20200731 15:35/LH0718/OP LH0718/Y/20200801 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~29~31,standard legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200727 17:35/UA0989/OP UA0989/Y/20200728 07:20/FRA~FRA/20200728 11:15/LH0102/OP LH0102/Y/20200728 12:10/MUC~MUC/20200728 15:35/LH0718/OP LH0718/Y/20200729 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200729 17:35/UA0989/OP UA0989/Y/20200730 07:20/FRA~FRA/20200730 11:15/LH0102/OP LH0102/Y/20200730 12:10/MUC~MUC/20200730 15:35/LH0718/OP LH0718/Y/20200731 08:45/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,31~30~31,standard legroom~standard legroom~standard legroom,no~no~no,OTHER(0),standard~better~standard,standard~n/a~standard,
IAD/20200727 18:20/UA0918/OP UA0918/Y/20200728 06:45/LHR~LHR/20200728 09:30/LH0901/OP LH0901/Y/20200728 12:05/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200728 18:20/UA0918/OP UA0918/Y/20200729 06:45/LHR~LHR/20200729 09:30/LH0901/OP LH0901/Y/20200729 12:05/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200729 18:20/UA0918/OP UA0918/Y/20200730 06:45/LHR~LHR/20200730 09:30/LH0901/OP LH0901/Y/20200730 12:05/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200730 18:20/UA0918/OP UA0918/Y/20200731 06:45/LHR~LHR/20200731 09:30/LH0901/OP LH0901/Y/20200731 12:05/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200727 18:20/UA0918/OP UA0918/Y/20200728 06:45/LHR~LHR/20200728 10:30/LH0903/OP LH0903/Y/20200728 13:05/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200728 18:20/UA0918/OP UA0918/Y/20200729 06:45/LHR~LHR/20200729 10:30/LH0903/OP LH0903/Y/20200729 13:05/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
